sludinajuma_saite,bilde,marka,gads,tilpums,nobraukums,cena
/msg/lv/transport/cars/citroen/c4/bkkxib.html,https://i.ss.lv/gallery/7/1323/330625/66124944.th2.jpg,"['Citroen', <br/>, 'C4']",['2005'],['1.6'],['273 tūkst.'],['875  €']
/msg/lv/transport/cars/volkswagen/tiguan/cdbgdl.html,https://i.ss.lv/gallery/7/1314/328423/65684575.th2.jpg,"['Volkswagen', <br/>, 'Tiguan']",['2019'],['2.0'],['103 tūkst.'],"['27,100  €']"
/msg/lv/transport/cars/mitsubishi/outlander/mixxc.html,https://i.ss.lv/gallery/7/1323/330626/66125063.th2.jpg,"['Mitsubishi', <br/>, 'Outlander']",['2016'],['2.0'],['147 tūkst.'],"['13,790  €']"
/msg/lv/transport/cars/audi/a3/bjlogl.html,https://i.ss.lv/gallery/7/1323/330626/66125052.th2.jpg,"['Audi', <br/>, 'A3']",['2005'],['2.0D'],['279 tūkst.'],"['2,200  €']"
/msg/lv/transport/cars/bmw/525/doxib.html,https://i.ss.lv/gallery/7/1319/329727/65945258.th2.jpg,[<b>Bmw<br/>525</b>],[<b>2004</b>],[<b>2.5D</b>],"[<b>391</b>, ' tūkst.']","[<b>2,000</b>, '  €']"
/msg/lv/transport/cars/volkswagen/tiguan/cblkbe.html,https://i.ss.lv/gallery/7/1306/326482/65296234.th2.jpg,"['Volkswagen', <br/>, 'Tiguan']",['2020'],['2.0D'],['132 tūkst.'],"['25,250  €']"
/msg/lv/transport/cars/opel/zafira/bdggfh.html,https://i.ss.lv/gallery/7/1323/330626/66125191.th2.jpg,"['Opel', <br/>, 'Zafira']",['1999'],['2.0D'],['444 tūkst.'],['350  €']
/msg/lv/transport/cars/sport-cars/blhixp.html,https://i.ss.lv/gallery/7/1323/330626/66125005.th2.jpg,['-'],['1998'],['1.7'],['-'],"['2,200  €']"
/msg/lv/transport/cars/volkswagen/tiguan/cfjooe.html,https://i.ss.lv/gallery/7/1295/323679/64735684.th2.jpg,"['Volkswagen', <br/>, 'Tiguan']",['2020'],['2.0D'],['102 tūkst.'],"['26,700  €']"
/msg/lv/transport/cars/ford/transit/bkbhbh.html,https://i.ss.lv/gallery/7/1323/330626/66125160.th2.jpg,"['Ford', <br/>, 'Transit']",['2017'],['2.0D'],['-'],"['15,500  €']"
